"ITTER107","Territory","TIPO_DATO15","Biometric functions","SEXISTAT1","Gender","ETA1","Age and age class","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1981","1981",490385,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1982","1982",491307,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1983","1983",491872,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1984","1984",492381,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1985","1985",492721,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1986","1986",492962,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1987","1987",493347,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1988","1988",493820,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1989","1989",494047,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1990","1990",494457,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1991","1991",494487,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1992","1992",494676,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1993","1993",494725,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1994","1994",494952,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1995","1995",495284,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1996","1996",495654,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1997","1997",495879,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1998","1998",496042,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","1999","1999",496343,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2000","2000",496673,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2001","2001",496841,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2002","2002",497020,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2003","2003",497183,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2004","2004",497403,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2005","2005",497534,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2006","2006",497636,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2007","2007",497720,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2008","2008",497789,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2009","2009",497754,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2010","2010",497773,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2011","2011",497805,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2012","2012",497891,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2013","2013",497898,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2014","2014",497926,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2015","2015",497930,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2016","2016",497958,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2017","2017",497980,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2018","2018",497963,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2019","2019",498043,,
"IT","Italy","PYLIVED","years lived - Lx","9","total","Y10-14","10-14 years","2020","2020",498157,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1974","1974",97265,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1975","1975",97379,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1976","1976",97570,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1977","1977",97713,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1978","1978",97879,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1979","1979",98014,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1980","1980",98150,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1981","1981",98280,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1982","1982",98460,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1983","1983",98553,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1984","1984",98650,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1985","1985",98713,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1986","1986",98756,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1987","1987",98826,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1988","1988",98910,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1989","1989",98947,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1990","1990",99024,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1991","1991",99032,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1992","1992",99072,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1993","1993",99086,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1994","1994",99128,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1995","1995",99193,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1996","1996",99259,,
"IT","Italy","SURVIVORS","survivors - lx","9","total","Y5-9","5-9 years","1997","1997",99299,,
